Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
kite,32,1,8,0,0,1,0,1,0,1,63,19,9,0,1,0,0,1,0,0,0,0,6,0,0,2,2,0,0,0,4,0,0,12,2,0,15,2,0,0,253,2,2,0,1,0,0,0,0,43,0,0,0,0,0,1,1,0,2,13,17,0,6,5,3,21,1,2,4,0,0,0,3,0,0,1,64,1,0,2,0
knife,0,0,0,3,7,0,0,0,0,0,4,0,10,13,18,1,0,12,0,5,1,22,6,0,0,0,9,16,0,1,0,0,146,1,0,1,3,0,2,0,0,161,3,0,0,6,1,0,1,1,13,0,0,16,6,63,0,4,1,7,2,156,0,0,0,0,1,3,5,0,0,17,0,0,0,0,2,0,2,0,0
laptop,0,0,8,2,0,0,3,70,68,1,1,0,158,3,7,0,1,14,10,0,44,141,157,1,94,0,8,102,18,1,0,0,1,0,2,0,15,0,1,103,0,1,199,59,4,18,0,46,6,48,0,12,52,37,6,0,0,15,2,0,1,0,0,0,81,1,7,2,6,2,56,0,3,1,28,149,2,1,10,0,0
microwave,0,0,0,0,0,0,0,1,1,0,0,0,7,0,2,0,2,0,2,0,0,9,5,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,47,0,0,0,46,1,0,0,0,26,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,30,0,0,5,4,1,38,0,0,0,0,0
motorcycle,19,0,28,1,0,2,0,2,22,152,2,22,0,2,1,0,12,2,140,0,0,0,36,0,4,4,0,6,3,0,16,8,0,1,0,0,21,26,0,0,3,0,0,0,320,0,0,0,2,113,0,1,0,0,0,1,0,1,7,3,2,0,1,0,22,0,4,1,0,0,3,0,2,8,67,0,5,0,0,3,0
mouse,0,4,1,0,0,0,0,0,0,0,0,0,0,2,32,0,0,2,10,0,0,44,16,3,0,0,18,2,0,0,0,0,0,1,0,14,3,0,0,16,0,4,1,0,0,88,0,0,0,2,0,0,0,11,0,0,0,6,0,0,2,33,14,0,1,0,0,0,0,1,5,1,0,1,0,2,1,16,0,0,0
orange,0,65,0,26,0,0,1,0,0,0,0,1,0,2,38,1,0,7,0,40,0,0,0,0,0,0,12,8,0,24,0,0,0,6,0,0,0,0,11,0,0,1,0,0,0,1,208,0,0,4,1,1,0,0,10,0,0,0,0,0,0,1,21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,2,0,0
oven,1,0,1,0,0,0,0,2,8,0,0,1,5,0,6,0,2,0,3,0,0,4,29,3,3,0,1,32,2,0,0,0,0,0,0,1,1,0,0,0,0,0,8,62,1,0,0,113,1,8,4,3,64,0,0,0,0,14,0,0,0,1,0,0,12,0,0,0,0,4,5,0,1,1,5,20,0,0,1,0,0
parking meter,1,1,1,0,0,0,0,0,1,0,0,1,0,1,2,0,2,0,13,0,0,6,4,6,0,0,3,2,0,0,0,12,0,2,0,1,1,0,0,0,2,0,1,2,7,1,1,3,49,2,0,0,2,3,0,0,0,0,1,0,1,0,1,19,6,2,0,1,0,0,5,0,23,8,1,3,0,4,1,0,0
person,78,2,443,10,76,33,37,447,168,249,95,186,20,57,15,2,97,8,488,3,174,10,2195,5,248,168,11,221,733,6,345,128,2,11,308,0,400,646,8,2,515,9,35,29,576,1,0,183,46,9499,9,88,30,9,9,8,138,16,72,561,171,7,11,8,175,416,572,100,34,2,85,6,19,8,185,79,288,26,13,266,0
pizza,0,15,0,17,0,1,0,20,2,0,1,0,25,0,124,15,0,189,1,9,0,1,3,0,6,0,7,93,1,69,0,0,9,4,1,0,1,0,99,4,0,20,0,3,0,0,10,41,0,27,234,2,3,0,204,1,0,2,0,0,0,9,0,3,1,3,0,0,0,0,1,1,0,0,1,1,4,5,3,0,0
potted plant,2,2,1,3,0,0,0,0,11,3,1,6,1,8,18,14,0,15,4,0,0,1,39,2,12,0,9,18,0,6,1,1,0,0,0,0,6,0,0,0,0,0,1,0,4,0,0,1,0,19,2,275,3,0,1,0,0,3,0,0,0,0,0,0,5,0,2,0,0,0,9,1,1,1,1,2,3,60,5,0,0
refrigerator,3,0,0,0,0,0,0,7,1,0,0,0,14,4,0,0,6,0,4,0,0,3,17,1,0,0,6,17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,44,0,0,0,97,19,1,0,2,113,1,0,1,0,3,0,1,1,0,0,6,34,5,0,0,1,7,35,0,2,0,19,29,3,11,0,0,0
remote,0,1,1,2,0,2,0,3,1,1,1,0,61,30,14,0,0,6,4,0,0,117,7,10,6,0,22,3,1,4,0,0,6,4,0,15,3,0,5,39,0,24,24,0,0,12,0,1,0,9,3,1,1,189,5,2,0,4,0,0,2,21,3,0,4,0,1,3,4,0,2,28,0,2,1,6,0,1,1,0,0
sandwich,0,9,0,17,0,0,0,2,0,0,4,1,1,6,74,4,0,119,0,7,0,1,3,1,0,0,10,27,1,42,0,0,8,0,0,0,2,0,103,1,1,9,1,0,0,1,7,3,0,10,77,1,0,1,137,0,1,1,0,0,0,5,0,0,0,1,2,0,1,0,1,1,0,0,0,0,1,1,0,0,0
scissors,1,1,0,3,1,1,0,4,5,4,2,0,6,2,4,0,1,5,3,1,3,4,7,2,1,0,6,7,1,4,2,1,9,2,0,4,6,3,0,0,0,12,0,1,5,0,1,3,2,8,1,3,1,2,0,22,0,0,2,2,1,10,0,3,1,0,2,5,4,0,7,9,0,1,0,1,7,5,1,0,0
sheep,2,0,2,2,0,3,68,4,6,0,75,4,0,0,0,0,0,2,6,0,33,0,11,0,4,228,0,2,115,2,71,0,0,1,29,0,0,118,2,0,2,0,0,0,0,0,1,0,0,41,1,1,0,0,3,0,317,0,1,0,0,0,7,1,2,1,39,0,0,0,1,0,0,0,6,0,3,0,0,48,0
sink,0,0,0,0,0,0,0,8,8,0,0,4,11,1,75,0,0,3,2,0,0,2,22,1,11,0,10,26,0,0,0,0,0,3,0,0,2,0,0,4,0,2,4,5,0,2,0,37,0,1,0,0,3,1,0,0,0,179,0,0,0,1,0,0,4,5,0,0,0,0,73,1,1,1,2,3,0,3,0,0,0
