Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
fire hydrant,1,0,0,1,1,1,23,0,2,3,1,3,0,57,0,0,1,9,17,1,1,0,2,0,0,3,19,2,31,0,23,92,0,0,2,0,1,2,1,0,2,0,0,0,7,0,0,0,1,69,0,46,1,0,0,0,1,0,7,0,1,0,0,0,2,0,36,0,0,0,31,0,1,36,6,0,3,32,0,1,0
fork,2,3,0,1,2,0,0,0,2,0,17,1,6,1,13,6,0,28,0,7,0,6,15,0,0,0,3,19,0,1,0,0,154,0,0,0,1,0,3,0,1,147,1,0,0,2,0,0,0,1,5,0,0,3,5,39,0,6,0,8,0,143,0,0,2,1,0,1,4,1,1,28,0,0,0,0,3,1,3,0,0
frisbee,1,8,7,7,3,4,1,0,1,4,5,3,9,24,61,0,0,9,2,6,0,2,6,22,0,0,36,1,10,13,0,1,1,104,0,2,9,0,2,0,5,2,1,0,0,3,6,0,0,18,3,5,0,17,0,2,8,8,0,0,0,8,17,20,1,4,0,12,0,0,4,3,5,0,0,1,15,3,1,0,0
giraffe,18,0,0,37,1,0,0,2,10,10,5,6,0,7,0,0,10,1,32,5,0,0,46,8,2,4,0,0,1,1,1,13,0,0,222,0,0,6,3,0,40,0,0,0,1,0,4,1,0,128,21,6,3,0,3,0,1,1,0,5,0,0,0,6,0,4,5,0,13,0,6,0,1,4,38,0,13,23,0,9,0
hair drier,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
handbag,0,0,264,0,3,27,0,2,11,12,2,7,10,9,4,0,1,2,12,0,4,12,57,0,12,1,8,3,10,0,0,1,1,1,0,0,328,5,0,0,10,2,4,0,15,1,0,0,2,88,0,2,1,2,0,2,0,1,17,2,4,1,0,0,92,11,2,19,11,0,2,0,2,0,2,2,7,4,0,0,0
horse,1,0,11,0,0,4,5,1,18,16,23,9,0,1,0,0,3,1,16,0,1,0,21,0,4,123,0,2,40,1,39,0,0,0,5,0,5,246,0,0,13,1,0,0,19,0,0,1,0,132,0,1,0,0,1,0,60,0,0,2,0,0,0,0,6,9,2,0,0,0,0,0,0,4,45,0,1,2,0,13,0
hot dog,0,3,0,1,0,1,0,2,1,0,0,2,4,2,34,1,0,30,0,22,1,0,3,0,0,0,3,18,0,32,0,0,4,1,0,0,3,0,87,0,0,11,0,0,0,0,4,6,0,15,17,0,0,1,70,0,0,0,0,0,0,3,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keyboard,0,0,1,0,0,0,0,12,6,0,0,3,48,0,1,0,0,4,4,0,2,5,9,1,8,0,0,9,0,0,0,0,0,0,1,0,4,0,0,135,0,0,31,3,0,3,0,9,0,1,3,0,0,16,0,0,0,2,0,0,0,0,0,0,4,0,0,1,3,0,1,0,0,1,2,3,0,0,0,0,0
kite,32,1,8,0,0,1,0,0,1,1,64,19,9,0,1,0,0,1,0,0,0,0,6,0,0,0,2,0,0,0,3,0,0,1,1,0,14,1,0,0,253,2,2,0,1,0,0,0,0,44,0,0,0,0,0,0,1,0,1,3,5,0,2,5,2,12,1,2,4,0,0,0,22,0,0,1,64,1,0,2,0
