Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
toaster,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,1,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,8,2,0,0,0,0,0,0,1,0,0,0
toilet,0,0,3,0,0,0,0,3,3,0,0,2,2,0,17,0,0,2,1,0,1,1,27,1,5,0,10,6,1,1,1,1,0,0,0,1,2,0,0,0,1,2,4,2,2,3,0,4,1,2,0,4,6,0,0,0,0,35,0,0,0,0,0,0,8,0,3,0,0,1,161,0,2,0,2,2,0,5,1,0,0
toothbrush,0,0,0,1,2,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,6,0,0,2,1,0,1,0,0,5,0,0,0,1,0,0,0,2,0,0,0,2,0,3,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,29,0,0,0,0,1,1,0,0,0
traffic light,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,0,3,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,398,0,3,1,0,0,0,0,0
train,10,0,0,1,0,0,0,2,5,1,0,32,1,0,0,0,75,1,12,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,181,49,4,3,1,0,0,0
truck,10,0,1,0,0,0,1,1,16,2,0,32,0,0,0,0,160,0,342,0,0,1,11,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,3,1,9,0,1,4,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,2,45,354,2,1,0,0,0,0
tv,0,0,0,0,0,0,0,4,1,0,0,0,22,0,2,0,1,0,3,0,1,9,24,3,4,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,118,30,0,0,0,23,0,12,0,0,17,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,3,1,0,3,1,2,251,2,0,0,0,0
umbrella,2,0,5,0,0,0,0,10,7,2,1,10,10,0,0,0,0,1,10,0,0,0,13,1,4,0,0,6,0,0,0,0,1,2,0,1,17,0,0,0,29,4,0,0,0,0,0,0,0,19,0,0,1,0,0,3,0,1,1,4,1,0,0,1,6,8,0,0,2,0,0,4,0,1,2,0,324,0,0,0,0
vase,0,4,3,3,0,2,0,2,1,1,9,3,5,69,32,0,1,7,1,2,2,0,18,6,3,0,78,6,0,3,0,5,0,0,0,0,11,1,0,0,1,0,0,1,0,1,2,0,2,11,0,46,4,0,4,0,0,2,0,0,1,3,2,0,3,0,3,0,1,1,4,1,1,1,1,1,0,215,14,0,0
wine glass,0,0,0,0,0,0,0,0,0,3,0,2,5,67,28,0,0,0,1,0,0,1,15,0,0,0,163,8,0,0,0,0,7,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,9,0,1,0,1,0,1,0,1,0,0,0,15,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,40,230,0,0
zebra,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,2,0,0,0,1,0,1,4,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,249,0
other,1240,2402,6702,3159,1351,1314,59,1216,11253,3850,4258,6856,14728,7822,5456,2063,1654,2658,16330,2524,335,2292,22235,3019,1996,2161,6369,9020,727,2053,973,377,1981,497,620,187,9599,1679,927,832,2817,3894,1124,499,3065,661,2149,1882,655,57032,1158,4554,1497,2237,1424,542,2328,2655,1729,3642,1346,3273,1813,506,3035,3227,1112,1397,1815,110,771,1019,4556,1266,4537,1646,4013,2679,2143,888,0
