Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
cat,0,0,43,2,0,0,42,29,43,3,52,1,9,3,10,0,0,3,7,0,190,1,96,1,74,11,2,36,156,1,6,0,0,1,3,2,34,4,0,15,0,0,78,15,3,2,0,12,0,107,2,6,29,1,0,0,7,62,0,0,0,0,0,0,35,1,12,0,1,3,50,0,0,0,0,42,3,5,0,8,0
cell phone,0,0,4,0,1,0,0,4,1,1,0,1,28,24,5,0,3,3,4,0,1,173,16,4,0,0,13,7,0,1,0,0,9,0,0,5,12,0,0,20,0,33,55,6,1,28,0,5,8,12,1,0,2,66,2,19,0,0,1,2,3,10,1,0,8,2,0,1,1,5,5,15,4,1,2,17,0,1,3,0,0
chair,7,0,73,1,6,0,0,140,633,44,4,26,43,13,34,0,2,4,63,0,5,6,1315,3,382,6,48,340,7,0,2,2,4,6,3,3,110,19,1,0,8,9,40,6,33,4,0,26,2,238,0,15,17,2,1,5,4,28,3,3,4,6,1,0,99,13,11,12,1,3,56,0,2,1,18,41,35,28,2,1,0
clock,2,4,0,1,0,0,0,1,0,27,0,0,5,11,11,0,2,7,8,0,2,4,0,220,0,0,8,1,0,9,0,0,0,4,0,4,0,1,0,1,0,0,5,4,1,6,1,3,1,5,4,1,4,2,0,2,0,4,0,0,0,2,0,18,1,2,2,0,0,2,1,0,16,4,1,14,0,6,1,0,0
couch,1,0,9,1,0,0,1,176,60,2,0,2,6,0,8,0,0,0,7,0,2,1,263,0,221,0,3,59,0,0,1,0,0,0,0,0,11,1,0,0,0,0,13,0,3,0,0,5,0,50,0,3,2,1,0,0,0,16,0,0,0,0,0,0,25,0,9,0,0,0,20,0,0,1,4,11,1,3,0,0,0
cow,0,0,6,0,0,2,36,2,15,1,48,2,1,0,0,0,1,1,5,0,9,0,32,0,6,323,0,1,166,0,125,0,0,0,24,0,2,188,0,0,0,0,1,0,1,0,0,0,0,44,0,0,0,0,0,0,176,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,1,1,0,0,33,0
cup,0,1,4,2,0,1,0,0,0,1,2,0,42,456,425,0,0,45,4,0,3,19,66,19,5,0,684,18,2,4,1,1,2,0,0,3,15,0,1,1,1,6,17,2,1,7,2,7,1,23,2,11,7,20,1,1,0,18,1,0,0,35,2,0,6,0,2,2,0,5,34,6,3,0,1,2,2,123,392,0,0
dining table,4,1,0,2,0,0,0,59,132,3,0,21,35,2,73,0,0,26,8,1,0,1,144,0,67,2,5,539,1,3,0,0,1,5,2,0,7,1,4,1,2,2,7,2,1,0,0,81,0,47,11,3,5,0,13,0,1,27,1,0,0,3,1,0,10,8,0,0,0,0,5,0,0,2,4,3,9,6,1,1,0
dog,1,1,6,1,0,0,34,38,9,3,30,3,1,4,3,0,1,6,24,1,136,0,78,0,28,111,1,21,201,0,18,5,0,0,7,0,4,68,0,0,1,1,4,0,4,0,1,7,0,75,2,3,2,1,0,0,119,6,4,0,0,0,0,0,7,2,69,0,1,0,5,0,1,1,9,5,1,1,1,2,0
donut,0,55,0,45,0,3,1,2,0,0,3,0,0,6,31,0,1,179,0,10,3,2,5,2,1,0,5,11,5,245,2,0,1,3,0,1,0,0,54,0,0,0,0,0,0,4,52,6,0,9,16,1,1,6,60,0,0,0,0,0,0,2,9,0,1,0,10,0,1,0,3,0,0,0,1,0,2,2,0,0,0
elephant,1,0,3,0,0,0,10,4,2,0,8,2,1,0,0,0,0,1,6,0,4,0,16,0,2,112,0,0,14,0,243,0,0,0,2,0,3,64,0,0,1,0,1,0,3,0,0,0,0,18,0,2,1,0,0,0,95,0,1,0,1,0,0,0,2,2,12,0,0,1,1,0,0,0,4,2,0,1,0,0,0
fire hydrant,0,0,0,1,0,0,19,0,23,1,1,2,0,56,0,0,0,9,0,1,1,0,3,0,0,0,5,3,28,0,19,92,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,69,0,2,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,32,0,1,2,0,0,0,3,0,0,0
fork,2,1,0,0,2,0,0,0,1,0,17,1,5,4,13,7,0,2,0,8,0,7,1,0,0,0,11,4,0,2,0,0,154,0,0,0,1,0,2,0,1,145,2,0,0,3,0,0,0,1,3,0,0,2,5,39,0,6,0,8,0,142,0,0,2,1,0,1,3,1,1,30,0,0,0,0,3,1,3,0,0
frisbee,1,8,1,5,3,4,0,0,0,3,4,0,2,25,61,0,0,7,2,5,0,1,5,2,0,0,36,1,0,12,0,0,1,103,0,2,2,0,2,0,5,2,1,0,0,3,5,0,0,4,3,5,0,4,0,2,7,8,0,0,0,8,17,19,0,3,0,11,0,0,4,3,5,0,0,1,1,2,1,0,0
giraffe,6,0,0,36,0,0,0,0,1,1,5,0,0,7,0,0,4,1,24,2,41,0,45,0,0,74,0,0,1,1,1,3,0,0,222,0,0,88,0,0,1,0,0,0,0,0,4,1,0,4,21,1,3,0,1,0,57,1,0,0,0,0,0,2,0,0,1,0,0,0,6,0,0,0,31,0,1,18,0,10,0
hair drier,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
handbag,0,0,260,0,2,10,0,2,5,12,2,3,6,9,4,0,1,2,12,0,4,4,58,0,6,1,8,3,7,0,0,1,1,1,0,0,326,5,0,0,6,3,4,0,15,1,0,0,2,71,0,2,1,2,0,2,0,1,9,2,2,1,0,0,88,3,2,5,11,1,2,0,2,0,2,2,7,4,0,0,0
